epsilon,method,accuracy,mia_auc_aggregated,mia_auc_gap
0.1,tab_dae,0.8562,0.4871,0.5049
0.1,dp_vae,0.8562,0.4922,0.5069
0.1,vanilla_ae,0.8588,0.488,0.5066
0.5,tab_dae,0.8612,0.4867,0.505
0.5,dp_vae,0.8588,0.4909,0.5065
0.5,vanilla_ae,0.8562,0.4953,0.5068
1.0,tab_dae,0.8612,0.4865,0.5052
1.0,dp_vae,0.8662,0.4936,0.5086
1.0,vanilla_ae,0.8575,0.4966,0.5069
5.0,tab_dae,0.8625,0.4877,0.5053
5.0,dp_vae,0.8625,0.4887,0.5058
5.0,vanilla_ae,0.8588,0.5008,0.5076
10.0,tab_dae,0.8625,0.4877,0.505
10.0,dp_vae,0.8638,0.4848,0.505
10.0,vanilla_ae,0.8712,0.4999,0.5064
